"simulationTime[s]","firingID","districtName","districtSafetyLevel","generallyRequiredPatrols","solvingPatrols","reachingPatrols(including 'called')","calledPatrols","totalDistanceOfCalledPatrols","isNight"
73627,1bf6f242-d5a6-4971-a51b-2e3c1df8b4fe,Czy¿yny,RatherSafe,3,1,2,2,"3435,243515660284",1
74448,52dcb753-c00b-46ea-b180-9468a7c7c966,Nowa Huta,NotSafe,4,3,1,1,"3353,500307820564",1
75336,eb91fc55-aa75-4479-978b-babb552ff319,Bronowice,NotSafe,6,1,1,1,"3570,5369660168953",1
75558,eb91fc55-aa75-4479-978b-babb552ff319,Bronowice,NotSafe,6,1,2,1,"1076,9473269060852",1
75634,64957d4e-f057-406b-8f3c-7d7f09eb707c,Mistrzejowice,RatherSafe,3,1,1,1,"2367,4946562059276",1
75636,64957d4e-f057-406b-8f3c-7d7f09eb707c,Mistrzejowice,RatherSafe,3,1,3,2,"5538,956935601153",1
75750,b9666786-62c5-46d0-9ab2-ad19562fb75d,Podgórze Duchackie,NotSafe,5,1,1,1,"1884,8286184314593",1
75752,6e0d5a1f-5b1a-4690-99ff-902892245be1,Zwierzyniec,RatherSafe,2,1,2,2,"6591,899120411183",1
75965,eb91fc55-aa75-4479-978b-babb552ff319,Bronowice,NotSafe,6,3,1,1,"3486,3920274095362",1
76105,b9666786-62c5-46d0-9ab2-ad19562fb75d,Podgórze Duchackie,NotSafe,5,2,1,1,"3407,981602565354",1
76159,b9666786-62c5-46d0-9ab2-ad19562fb75d,Podgórze Duchackie,NotSafe,5,2,2,1,"1751,5479969446724",1
76190,eb91fc55-aa75-4479-978b-babb552ff319,Bronowice,NotSafe,6,3,6,5,"11964,910196427223",1
76219,b9666786-62c5-46d0-9ab2-ad19562fb75d,Podgórze Duchackie,NotSafe,5,2,3,1,"3489,2556530729703",1
76705,eed893f3-d550-42a1-9c4a-f74950d0e5b4,Nowa Huta,NotSafe,3,1,1,1,"3404,697920708842",1
76862,198f3e38-9fbe-47ea-9d4c-8e9c65f7ed84,Stare Miasto,NotSafe,4,1,3,3,"5232,551835786277",1
77209,154ca510-6d90-420c-be3b-2b945d5ad5de,Pr¹dnik Czerwony,RatherSafe,2,1,1,1,"1462,8327802777937",1
78133,5f05f394-c6fc-44db-b389-23c42912f779,Bronowice,NotSafe,5,1,5,5,"8494,927949263101",1
78218,df2f7f76-d7d6-44f5-8ac9-c91b07382bf0,Nowa Huta,NotSafe,3,1,1,1,"3584,2097641465093",1
78622,e8522a00-457e-41a4-9d69-91a37b538f55,Podgórze Duchackie,NotSafe,2,1,1,1,"1181,5313135878664",1
78624,c37e0bc0-e688-4fdb-8566-f5935317c760,Dêbniki,NotSafe,6,1,2,2,"3286,494806128073",1
78626,c37e0bc0-e688-4fdb-8566-f5935317c760,Dêbniki,NotSafe,6,1,4,2,"6457,824330906064",1
79206,c37e0bc0-e688-4fdb-8566-f5935317c760,Dêbniki,NotSafe,6,5,1,1,"3531,947589091426",1
79834,df2f7f76-d7d6-44f5-8ac9-c91b07382bf0,Nowa Huta,NotSafe,3,2,1,1,"3530,1928555303257",1
82587,7122d02f-b920-4aa0-8535-0b01df819428,Pr¹dnik Bia³y,Safe,4,1,5,5,"10152,866767170228",1
83163,eed893f3-d550-42a1-9c4a-f74950d0e5b4,Nowa Huta,NotSafe,3,2,1,1,"0,0",1
83483,3ac2d96a-cfb3-4365-a499-b384a076efda,Mistrzejowice,RatherSafe,5,1,1,1,"1648,868470537885",1
83485,3ac2d96a-cfb3-4365-a499-b384a076efda,Mistrzejowice,RatherSafe,5,1,3,2,"5716,237372876172",1
83677,3ac2d96a-cfb3-4365-a499-b384a076efda,Mistrzejowice,RatherSafe,5,2,3,1,"3393,5595598208242",1
83851,476b57da-d7b6-48f6-bbeb-8cda0799f451,Dêbniki,NotSafe,5,1,1,1,"769,685949498815",1
83960,476b57da-d7b6-48f6-bbeb-8cda0799f451,Dêbniki,NotSafe,5,1,2,1,"3269,1264603297536",1
84305,476b57da-d7b6-48f6-bbeb-8cda0799f451,Dêbniki,NotSafe,5,2,2,1,"3330,001796491824",1
84558,05df5c4a-30c8-4dd8-8909-ce977868023a,Pr¹dnik Bia³y,Safe,3,1,2,2,"4417,499217841542",1
84811,e7e1f305-be4d-4e2f-aa07-c7b677bf5609,Krowodrza,RatherSafe,4,1,1,1,"318,20693541363823",1
84812,e7e1f305-be4d-4e2f-aa07-c7b677bf5609,Krowodrza,RatherSafe,4,1,2,1,"1464,6261408910007",1
84813,e7e1f305-be4d-4e2f-aa07-c7b677bf5609,Krowodrza,RatherSafe,4,1,3,1,"2689,6595556675147",1
85971,476b57da-d7b6-48f6-bbeb-8cda0799f451,Dêbniki,NotSafe,5,4,1,1,"3517,2904789973854",1
85973,af14a3dd-7761-4e3e-b9af-6192b0122f7b,Bronowice,NotSafe,3,1,2,2,"1838,6077723008402",1
